ensembl_id	gene_symbol	prob_ratio	cell_type_prob	general_prob	minus_cell_type_prob	minus_general
ENSG00000172752	COL6A5	38.34556225483132	0.1236999999999999	0.0032259274014013	0.8763000000000001	0.9967740725985987
ENSG00000217236	SP9	25.569018614385392	0.0543999999999999	0.0021275748131136	0.9456000000000001	0.9978724251868863
ENSG00000196666	FAM180B	22.1935687103596	0.1476	0.006650575305228	0.8524	0.993349424694772
ENSG00000180828	BHLHE22	21.158479488962456	0.1141	0.0053926370304407	0.8859	0.9946073629695593
ENSG00000163064	EN1	20.64032949382789	0.1053999999999999	0.0051065076277739	0.8946000000000001	0.9948934923722261
ENSG00000187151	ANGPTL5	19.75295691136354	0.1373999999999999	0.006955920605535	0.8626	0.993044079394465
ENSG00000161634	DCD	19.18570077026136	0.1611	0.0083968785883344	0.8389	0.9916031214116656
ENSG00000172724	CCL19	16.627407114264944	0.4282999999999998	0.0257586764464649	0.5717000000000002	0.9742413235535351
ENSG00000167157	PRRX2	15.813974052867868	0.4795999999999996	0.0303276076207437	0.5204000000000004	0.9696723923792563
ENSG00000168779	SHOX2	15.231871945561473	0.1731000000000001	0.0113643287324537	0.8269	0.9886356712675463
ENSG00000135903	PAX3	15.169073900842063	0.0759999999999999	0.0050101937993578	0.9240000000000002	0.9949898062006421
ENSG00000122691	TWIST1	15.009321932641344	0.5651999999999999	0.0376565978487567	0.4348000000000001	0.9623434021512433
ENSG00000122420	PTGFR	14.672160452937767	0.2751000000000002	0.0187497949523117	0.7248999999999999	0.9812502050476883
ENSG00000170961	HAS2	14.623463013838476	0.4029000000000001	0.027551613432381	0.5971	0.972448386567619
ENSG00000206384	COL6A6	14.527432162477178	0.1636	0.0112614533780141	0.8364	0.9887385466219859
ENSG00000112837	TBX18	13.71547895443422	0.2034999999999999	0.0148372507205961	0.7965000000000001	0.985162749279404
ENSG00000137675	MMP27	13.704584630509808	0.0391999999999999	0.0028603566658073	0.9608000000000001	0.9971396433341927
ENSG00000189320	FAM180A	13.631617846407815	0.1083999999999999	0.0079521008600285	0.8916000000000001	0.9920478991399715
ENSG00000145423	SFRP2	13.000140850042376	0.6041000000000001	0.0464687272982916	0.3958999999999999	0.9535312727017085
ENSG00000168333	PPDPFL	12.280818066751126	0.0863999999999999	0.0070353619384622	0.9136000000000001	0.9929646380615378
ENSG00000155011	DKK2	12.222483325962012	0.1619	0.013246080659902	0.8381000000000001	0.986753919340098
ENSG00000164530	PI16	12.137649480474748	0.2888	0.0237937337426475	0.7112	0.9762062662573525
ENSG00000143196	DPT	11.976238682421393	0.6868999999999997	0.0573552363321069	0.31310000000000027	0.9426447636678931
ENSG00000163132	MSX1	11.93255744948479	0.3468	0.029063342160148	0.6532	0.970936657839852
ENSG00000092607	TBX15	11.56160888556592	0.1376999999999999	0.0119101070934782	0.8623000000000001	0.9880898929065218
