ensembl_id	gene_symbol	prob_ratio	cell_type_prob	general_prob	minus_cell_type_prob	minus_general
ENSG00000171053	PATE1	168.95447178003394	0.2789	0.0016507405637839	0.7211000000000001	0.9983492594362161
ENSG00000124233	SEMG1	153.70909196128036	0.9970999999999997	0.0064869292198484	0.0029000000000003467	0.9935130707801516
ENSG00000124157	SEMG2	152.6608301767687	0.9902999999999998	0.0064869292198484	0.009700000000000153	0.9935130707801516
ENSG00000186526	CYP4F8	128.61431984489457	0.7018000000000002	0.0054566241212203	0.2981999999999998	0.9945433758787797
ENSG00000237353	PATE4	96.56837642963788	0.5302	0.005490410210907	0.4698	0.994509589789093
ENSG00000232258	TMEM114	69.8780633530803	0.0926	0.001325165517712	0.9074	0.998674834482288
ENSG00000101441	CST4	57.82448757086953	0.0905	0.001565080881851	0.9095	0.998434919118149
ENSG00000214510	SPINK13	41.509594333548456	0.198	0.0047699815712237	0.802	0.9952300184287763
ENSG00000171954	CYP4F22	36.125456027265706	0.1664	0.0046061702272881	0.8336	0.9953938297727118
ENSG00000159763	PIP	35.46157276995313	0.9383	0.0264596273291924	0.06169999999999998	0.9735403726708076
ENSG00000167580	AQP2	33.81357777777798	0.2908	0.0086000955566172	0.7092	0.9913999044433828
ENSG00000198914	POU3F3	27.237273457466348	0.3819000000000002	0.0140212272199849	0.6180999999999999	0.9859787727800151
ENSG00000127530	OR7C1	26.480543630893	0.0900999999999999	0.0034024981229949	0.9099000000000002	0.9965975018770051
ENSG00000196917	HCAR1	26.364148136425094	0.1137	0.0043126749027369	0.8863	0.9956873250972631
ENSG00000096088	PGC	25.803205866258125	0.8046000000000001	0.0311821718654016	0.1953999999999999	0.9688178281345984
ENSG00000215203	GRXCR1	25.28789862046862	0.1344999999999999	0.0053187495734079	0.8655000000000002	0.9946812504265921
ENSG00000142619	PADI3	25.140297478687376	0.0472999999999999	0.0018814415398265	0.9527000000000001	0.9981185584601735
ENSG00000154269	ENPP3	24.616477326969058	0.352	0.0142993652310422	0.648	0.9857006347689578
ENSG00000105141	CASP14	24.573559902200778	0.1029	0.0041874274793528	0.8971	0.9958125725206473
ENSG00000184956	MUC6	23.62201725997849	0.3886	0.0164507542147293	0.6113999999999999	0.9835492457852707
ENSG00000141744	PNMT	22.91884994943688	0.4485999999999999	0.019573407958501	0.5514000000000001	0.980426592041499
ENSG00000104055	TGM5	22.492873357228543	0.0770999999999999	0.0034277523718516	0.9229	0.9965722476281484
ENSG00000120068	HOXB8	20.57902374232118	0.2961000000000001	0.0143884376493071	0.7039	0.9856115623506929
ENSG00000165794	SLC39A2	20.251740751362355	0.1205	0.0059501057948262	0.8795	0.9940498942051738
ENSG00000255398	HCAR3	19.346034211873587	0.374	0.0193321274998293	0.626	0.9806678725001707
ENSG00000273706	LHX1	18.02273551322995	0.1676	0.0092993652310421	0.8324	0.9907006347689579
ENSG00000144837	PLA1A	17.6148240072203	0.1865	0.0105876731963688	0.8135	0.9894123268036312
ENSG00000158955	WNT9B	17.55995308168107	0.0280999999999999	0.0016002320660705	0.9719000000000001	0.9983997679339295
ENSG00000198003	ODAD3	16.794742736675843	0.087	0.005180192478329	0.913	0.994819807521671
ENSG00000139547	RDH16	15.253190436933336	0.0883999999999999	0.005795508838987	0.9116000000000001	0.994204491161013
ENSG00000182782	HCAR2	15.237569858446625	0.3681	0.0241573953996313	0.6319	0.9758426046003688
ENSG00000170689	HOXB9	14.315689257518011	0.2203	0.0153887106682137	0.7797000000000001	0.9846112893317863
ENSG00000152779	SLC16A12	13.213958929526118	0.2868	0.0217043205241962	0.7132000000000001	0.9782956794758038
ENSG00000162891	IL20	13.05350850283442	0.0668	0.0051173981298204	0.9332	0.9948826018701796
ENSG00000131746	TNS4	12.701654246020816	0.3298	0.025965121834687	0.6702	0.974034878165313
ENSG00000120457	KCNJ5	12.676592649310916	0.1582	0.0124796942188246	0.8418	0.9875203057811754
