ensembl_id	gene_symbol	prob_ratio	cell_type_prob	general_prob	minus_cell_type_prob	minus_general
ENSG00000111536	IL26	21.8671523952603	0.0306999999999999	0.0014039322288097	0.9693	0.9985960677711903
ENSG00000183813	CCR4	21.506482507793727	0.1455	0.0067654020106389	0.8545	0.9932345979893611
ENSG00000102245	CD40LG	16.507156098957072	0.2433000000000001	0.014739062170459	0.7566999999999999	0.985260937829541
ENSG00000109471	IL2	12.464447874614432	0.0245999999999999	0.0019736132917769	0.9754	0.9980263867082231
ENSG00000163519	TRAT1	12.29734914752685	0.4207	0.0342106249853536	0.5792999999999999	0.9657893750146465
ENSG00000110448	CD5	11.832872878908857	0.3264999999999999	0.0275926229700278	0.6735000000000001	0.9724073770299722
ENSG00000163600	ICOS	11.715671868006698	0.2699	0.0230375178684413	0.7301	0.9769624821315587
ENSG00000013725	CD6	10.8755605242588	0.4206000000000001	0.0386738687226114	0.5793999999999999	0.9613261312773886
ENSG00000163599	CTLA4	10.2471621621622	0.1235	0.0120521172638436	0.8765000000000001	0.9879478827361564
ENSG00000164400	CSF2	9.90998592540478	0.0362999999999999	0.0036629719026081	0.9637000000000001	0.9963370280973919
ENSG00000113263	ITK	9.833623568066796	0.3633	0.036944672275209	0.6367	0.963055327724791
ENSG00000178562	CD28	9.592642875876733	0.2656999999999999	0.0276983104070488	0.7343000000000002	0.9723016895929512
ENSG00000124334	IL9R	9.48777949687707	0.0387999999999999	0.0040894710941344	0.9612	0.9959105289058656
ENSG00000172215	CXCR6	9.228644645237772	0.146	0.0158203079230426	0.854	0.9841796920769574
ENSG00000168685	IL7R	8.888300808908735	0.7766000000000003	0.0873732805286714	0.2233999999999997	0.9126267194713286
ENSG00000078589	P2RY10	8.874554653078135	0.2563000000000001	0.0288803224521359	0.7436999999999999	0.9711196775478641
ENSG00000112486	CCR6	8.849763514898173	0.2024	0.0228706676352728	0.7976	0.9771293323647272
ENSG00000174946	GPR171	8.768424657534261	0.2024999999999999	0.0230942282005014	0.7975000000000001	0.9769057717994986
ENSG00000116824	CD2	8.748756681969693	0.6846	0.0782511189745271	0.3154	0.9217488810254729
ENSG00000167286	CD3D	8.592443897027126	0.7659000000000001	0.0891364563072668	0.23409999999999986	0.9108635436927333
ENSG00000126353	CCR7	8.215218782197246	0.3026999999999999	0.0368462493848568	0.6973	0.9631537506151432
ENSG00000198851	CD3E	8.188663152990513	0.7249000000000002	0.0885248283457924	0.2750999999999998	0.9114751716542075
ENSG00000186827	TNFRSF4	7.938903506412688	0.2421	0.0304953952147727	0.7579	0.9695046047852273
ENSG00000124203	ZNF831	7.895166690160722	0.1575	0.0199489138331028	0.8425	0.9800510861668972
ENSG00000160654	CD3G	7.66646671408148	0.4951000000000001	0.0645799451643896	0.5048999999999999	0.9354200548356104
ENSG00000213402	PTPRCAP	7.332636472656207	0.2092	0.028529983830525	0.7908	0.971470016169475
ENSG00000177272	KCNA3	7.278391574011067	0.0901999999999999	0.0123928479366343	0.9098	0.9876071520633657
ENSG00000188389	PDCD1	7.16288349451339	0.1030999999999999	0.0143936446933657	0.8969000000000001	0.9856063553066343
ENSG00000027869	SH2D2A	7.109137578776497	0.2699	0.0379652239120755	0.7301	0.9620347760879245
ENSG00000186891	TNFRSF18	7.10191922988579	0.2391000000000001	0.0336669556862652	0.7608999999999999	0.9663330443137348
ENSG00000186810	CXCR3	6.831520422291466	0.148	0.0216642842078128	0.852	0.9783357157921873
ENSG00000106952	TNFSF8	6.815228915116792	0.1409999999999999	0.0206889602324654	0.8590000000000001	0.9793110397675346
ENSG00000181847	TIGIT	6.806217554782906	0.1578	0.0231846835235394	0.8422000000000001	0.9768153164764606
ENSG00000153283	CD96	6.67297288916453	0.4236	0.063479952194596	0.5764	0.936520047805404
ENSG00000160185	UBASH3A	6.671155807153057	0.0833999999999999	0.012501581796452	0.9166000000000001	0.987498418203548
ENSG00000049768	FOXP3	6.626086342783279	0.0263999999999999	0.0039842523375435	0.9736000000000001	0.9960157476624565
ENSG00000203896	LIME1	6.506010013552191	0.1214999999999999	0.018675040423687	0.8785000000000001	0.981324959576313
ENSG00000143556	S100A7	6.492740823917481	0.1083999999999999	0.0166955686265319	0.8916000000000001	0.9833044313734681
ENSG00000111796	KLRB1	6.172340483598062	0.3445	0.055813512056804	0.6555	0.944186487943196
ENSG00000172673	THEMIS	5.971486573047561	0.1704	0.028535607995688	0.8296	0.971464392004312
ENSG00000178199	ZC3H12D	5.8814838441411	0.1358999999999999	0.0231064138916879	0.8641000000000001	0.9768935861083121
ENSG00000105717	PBX4	5.788362720744026	0.2004000000000001	0.0346211890422515	0.7995999999999999	0.9653788109577485
ENSG00000163202	LCE3D	5.77898405228764	0.0259	0.0044817566142525	0.9741	0.9955182433857475
ENSG00000197540	GZMM	5.726262707685308	0.2829999999999999	0.049421414008858	0.7170000000000001	0.950578585991142
ENSG00000182866	LCK	5.7007072920195405	0.489	0.0857788297049656	0.511	0.9142211702950344
ENSG00000117090	SLAMF1	5.598702941636689	0.1677000000000001	0.0299533662971902	0.8322999999999999	0.9700466337028097
ENSG00000100385	IL2RB	5.538524582702058	0.1996	0.0360384786633233	0.8004	0.9639615213366767
ENSG00000117560	FASLG	5.457622586189494	0.0505999999999999	0.0092714362711784	0.9494000000000001	0.9907285637288216
ENSG00000145649	GZMA	5.346325401973172	0.2569000000000001	0.0480516954514564	0.7430999999999999	0.9519483045485436
ENSG00000198821	CD247	5.334002080541998	0.3797	0.0711848241276685	0.6203000000000001	0.9288151758723315
ENSG00000115085	ZAP70	5.299677098857431	0.2375	0.0448140510392988	0.7625	0.9551859489607012
ENSG00000077984	CST7	5.131316166879736	0.3706	0.0722231856208843	0.6294	0.9277768143791157
ENSG00000173762	CD7	4.980205953600826	0.4942999999999999	0.0992529233941836	0.5057	0.9007470766058164
ENSG00000170989	S1PR1	4.961286751591596	0.1923	0.0387601059217771	0.8077	0.9612398940782229
ENSG00000111537	IFNG	4.950186401405034	0.0785999999999999	0.0158781899561783	0.9214000000000001	0.9841218100438217
ENSG00000176083	ZNF683	4.847459778977152	0.0441999999999999	0.0091181777704871	0.9558000000000001	0.9908818222295129
ENSG00000134460	IL2RA	4.7671942528173386	0.0684999999999999	0.0143690389707777	0.9315000000000001	0.9856309610292223
ENSG00000185669	SNAI3	4.743471569046614	0.0675999999999999	0.0142511658425701	0.9324000000000001	0.9857488341574299
ENSG00000103522	IL21R	4.669343384540869	0.1264999999999999	0.027091603590092	0.8735000000000002	0.972908396409908
ENSG00000183484	GPR132	4.608219479641545	0.1245999999999999	0.0270386427014739	0.8754000000000001	0.9729613572985261
ENSG00000185897	FFAR3	4.589400098668079	0.0109	0.0023750380802849	0.9891	0.9976249619197151
ENSG00000122188	LAX1	4.547045776064594	0.0820999999999999	0.0180556792351134	0.9179000000000002	0.9819443207648866
ENSG00000161634	DCD	4.525491181067232	0.0379999999999999	0.0083968785883344	0.9620000000000001	0.9916031214116656
ENSG00000205045	SLFN12L	4.525433938050528	0.0908999999999999	0.0200864715393808	0.9091000000000001	0.9799135284606192
ENSG00000146285	SCML4	4.522454328617126	0.1564	0.0345829915871862	0.8436	0.9654170084128137
ENSG00000150637	CD226	4.507369808473708	0.1162	0.0257800014060412	0.8838	0.9742199985939588
ENSG00000147138	GPR174	4.506464014511029	0.1373999999999999	0.0304895367093946	0.8626	0.9695104632906054
ENSG00000163606	CD200R1	4.490188927040002	0.0664999999999999	0.0148100672556416	0.9335000000000001	0.9851899327443584
ENSG00000100351	GRAP2	4.462511364065633	0.1661	0.0372211937290558	0.8339	0.9627788062709441
ENSG00000163564	PYHIN1	4.421716417910455	0.1351	0.0305537459283387	0.8649	0.9694462540716613
ENSG00000196329	GIMAP5	4.37579935236269	0.0683999999999999	0.0156314297096524	0.9316000000000001	0.9843685702903476
ENSG00000137078	SIT1	4.3359272625346055	0.2030000000000001	0.0468181285590419	0.7969999999999999	0.9531818714409581
ENSG00000113088	GZMK	4.2968891723969	0.1397	0.0325118927659175	0.8603000000000001	0.9674881072340825
ENSG00000183918	SH2D1A	4.283672150102492	0.1910000000000001	0.0445879127317038	0.8089999999999999	0.9554120872682962
ENSG00000073861	TBX21	4.255315641662274	0.0489999999999999	0.0115150094907786	0.9510000000000001	0.9884849905092215
ENSG00000089012	SIRPG	4.204063391877071	0.0718	0.0170787148782602	0.9282	0.9829212851217398
ENSG00000153563	CD8A	4.105694471267803	0.1644	0.0400419468985072	0.8356	0.9599580531014928
