ensembl_id	gene_symbol	prob_ratio	cell_type_prob	general_prob	minus_cell_type_prob	minus_general
ENSG00000105668	UPK1A	128.958767769023	0.4102999999999998	0.0031816371007428	0.5897000000000002	0.9968183628992572
ENSG00000142619	PADI3	91.50425146829924	0.1789	0.0019551004147821	0.8210999999999999	0.9980448995852179
ENSG00000140274	DUOXA2	71.33603383317069	0.4437000000000002	0.0062198579898295	0.5562999999999998	0.9937801420101705
ENSG00000138152	BTBD16	62.11984877881799	0.5102	0.008213155859677	0.4898	0.991786844140323
ENSG00000204616	TRIM31	59.52162619353682	0.6076999999999999	0.0102097344925362	0.3923000000000001	0.9897902655074639
ENSG00000159182	PRAC1	58.500360912982096	0.2882999999999999	0.0049281747240643	0.7117000000000001	0.9950718252759357
ENSG00000100867	DHRS2	51.47075172055949	0.8833000000000001	0.0171612026339839	0.11669999999999991	0.9828387973660161
ENSG00000016602	CLCA4	44.71775383046208	0.4726000000000002	0.0105685093618915	0.5273999999999999	0.9894314906381085
ENSG00000134668	SPOCD1	41.89818714781743	0.3449999999999999	0.0082342464790382	0.655	0.9917657535209617
ENSG00000241635	UGT1A1	41.36049366761561	0.0749999999999999	0.0018133245846319	0.925	0.9981866754153681
ENSG00000137745	MMP13	40.6409523809535	0.0808	0.0019881423851146	0.9192	0.9980118576148854
ENSG00000103044	HAS3	38.068358004025214	0.4743	0.0124591662175145	0.5257000000000001	0.9875408337824855
ENSG00000114638	UPK1B	37.591097899001305	0.5371000000000002	0.0142879572563447	0.46289999999999976	0.9857120427436553
ENSG00000140279	DUOX2	36.69649822252278	0.2926999999999999	0.0079762379021863	0.7073	0.9920237620978137
ENSG00000167653	PSCA	35.39767810397731	0.8840999999999998	0.0249762144681648	0.11590000000000023	0.9750237855318352
ENSG00000189433	GJB4	35.07724987148969	0.1759	0.0050146462634452	0.8241	0.9949853537365548
ENSG00000164690	SHH	33.33392944247906	0.2274	0.0068218780024839	0.7726	0.9931781219975161
ENSG00000109511	ANXA10	33.28206983922247	0.5078999999999999	0.0152604691491106	0.4921000000000001	0.9847395308508894
ENSG00000132681	ATP1A4	31.92661926033997	0.2462	0.0077114334590958	0.7538	0.9922885665409042
ENSG00000158055	GRHL3	31.26642243399487	0.2814	0.0090000703020644	0.7186	0.9909999296979356
ENSG00000158786	PLA2G2F	31.05714040114667	0.0889	0.0028624657277434	0.9111	0.9971375342722566
ENSG00000206072	SERPINB11	29.840798085829988	0.0452999999999999	0.0015180559135752	0.9547000000000001	0.9984819440864248
ENSG00000167656	LY6D	29.34161997545148	0.8907000000000003	0.0303561971269889	0.10929999999999973	0.9696438028730111
ENSG00000171401	KRT13	28.94788056734341	0.8872000000000004	0.0306481850350338	0.11279999999999957	0.9693518149649663
ENSG00000110375	UPK2	28.31321084773861	0.1282	0.004527921636632	0.8718	0.995472078363368
ENSG00000196542	SPTSSB	26.363281049936084	0.4053000000000001	0.0153736554730156	0.5946999999999999	0.9846263445269844
