ensembl_id	gene_symbol	prob_ratio	cell_type_prob	general_prob	minus_cell_type_prob	minus_general
ENSG00000147432	CHRNB3	129.50673481660044	0.2205	0.0017026141560302	0.7795	0.9982973858439698
ENSG00000151615	POU4F2	128.10853113358672	0.1643	0.0012825063135621	0.8357	0.9987174936864379
ENSG00000008197	TFAP2D	117.12312816800087	0.1103999999999999	0.0009425977748958	0.8896000000000001	0.9990574022251042
ENSG00000147434	CHRNA6	92.73822580645374	0.1923	0.0020735785953176	0.8077	0.9979264214046824
ENSG00000091664	SLC17A6	79.28105450237057	0.3196999999999999	0.0040324892498805	0.6803000000000001	0.9959675107501195
ENSG00000215397	SCRT2	74.26942792281604	0.2233	0.003006620708484	0.7767	0.996993379291516
ENSG00000174948	GPR149	45.385312131921296	0.0788999999999999	0.0017384478875161	0.9211000000000001	0.9982615521124839
ENSG00000185105	MYADML2	41.444091174752295	0.1209999999999999	0.0029195959320182	0.8790000000000001	0.9970804040679818
ENSG00000152192	POU4F1	40.320790305039424	0.2657	0.0065896525834413	0.7343	0.9934103474165586
ENSG00000236279	CLEC2L	35.65500328601488	0.3703000000000001	0.0103856392055149	0.6296999999999999	0.9896143607944851
ENSG00000174576	NPAS4	34.885171959415295	0.1807	0.0051798512046958	0.8193	0.9948201487953042
ENSG00000231824	AKAIN1	34.09906586447158	0.1469999999999999	0.0043109685345709	0.8530000000000001	0.9956890314654291
ENSG00000132975	GPR12	34.00584001451131	0.3198999999999999	0.0094072076991331	0.6801000000000001	0.9905927923008669
ENSG00000184302	SIX6	33.051166969147246	0.2486	0.007521670875708	0.7514000000000001	0.992478329124292
ENSG00000177551	NHLH2	32.0429391865317	0.139	0.0043379291515937	0.861	0.9956620708484063
ENSG00000261678	SCRT1	31.30453583061904	0.3410999999999999	0.0108961845607807	0.6589	0.9891038154392193
ENSG00000143032	BARHL2	31.205069746513384	0.071	0.0022752713125383	0.929	0.9977247286874616
ENSG00000152214	RIT2	30.001563559164364	0.2749	0.0091628557777625	0.7251000000000001	0.9908371442222375
ENSG00000156486	KCNS2	29.64115427303066	0.0637999999999999	0.0021524128045866	0.9362000000000001	0.9978475871954134
ENSG00000183379	SYNDIG1L	29.419135916359824	0.0652999999999999	0.0022196437103268	0.9347000000000001	0.9977803562896732
ENSG00000100362	PVALB	29.196515281993424	0.7058000000000001	0.0241741178076581	0.2941999999999999	0.9758258821923419
ENSG00000116035	VAX2	28.25745873745126	0.2267	0.0080226605692443	0.7733	0.9919773394307557
ENSG00000116014	KISS1R	27.78224996284759	0.1914	0.0068892908333901	0.8086	0.9931107091666099
ENSG00000157219	HTR5A	26.806710182768	0.0911	0.0033984028393965	0.9089	0.9966015971606035
ENSG00000162494	LRRC38	26.558153429526683	0.2142	0.0080653197733942	0.7858	0.9919346802266058
ENSG00000250366	TUNAR	26.3042722377775	0.2084	0.007922667394717	0.7916	0.992077332605283
ENSG00000163888	CAMK2N2	25.808329914818746	0.3649999999999999	0.0141427206334038	0.6350000000000001	0.9858572793665962
ENSG00000143858	SYT2	24.801534190697502	0.2988	0.0120476417991945	0.7012	0.9879523582008055
ENSG00000138379	MSTN	24.58928476821229	0.0886999999999999	0.0036072623029144	0.9113000000000001	0.9963927376970856
ENSG00000253457	SMIM18	24.42748906386717	0.2001	0.0081915910176779	0.7999	0.9918084089823221
ENSG00000100884	CPNE6	24.089517621865024	0.2265	0.0094024298682683	0.7735	0.9905975701317317
ENSG00000166006	KCNC2	23.533650440838773	0.4336	0.0184246809091529	0.5664	0.981575319090847
ENSG00000122012	SV2C	23.45568159593203	0.2864999999999999	0.0122145246058289	0.7135	0.987785475394171
ENSG00000204071	TCEAL6	23.454003242221017	0.3555000000000001	0.0151573271449047	0.6444999999999999	0.9848426728550953
ENSG00000227729	RD3L	23.449922954021066	0.2254	0.0096119718790525	0.7746	0.9903880281209475
ENSG00000167178	ISLR2	22.691191192117472	0.1674	0.0073773121288648	0.8326	0.9926226878711352
ENSG00000277586	NEFL	22.63872808626132	0.7373000000000002	0.0325680840898231	0.2626999999999998	0.9674319159101769
ENSG00000184524	CEND1	22.36409045862472	0.5545	0.0247942119991808	0.4455	0.9752057880008193
ENSG00000187642	PERM1	22.31531897926652	0.1719	0.00770322844857	0.8281000000000001	0.99229677155143
ENSG00000099822	HCN2	22.281368517789247	0.2896	0.0129974063203876	0.7103999999999999	0.9870025936796124
ENSG00000101180	HRH3	21.992004124382863	0.1383	0.0062886492389597	0.8617	0.9937113507610403
ENSG00000147036	LANCL3	21.8713308584383	0.2272	0.0103880281209473	0.7727999999999999	0.9896119718790527
ENSG00000233932	CTXN2	21.65229835902546	0.2228999999999999	0.0102945191454507	0.7771000000000001	0.9897054808545493
ENSG00000067842	ATP2B3	21.5238615916956	0.2229000000000001	0.0103559483994266	0.7770999999999999	0.9896440516005734
ENSG00000169181	GSG1L	21.12957760502444	0.1883	0.008911678383728	0.8117	0.991088321616272
ENSG00000213023	SYT3	20.893515398024665	0.0858999999999999	0.0041113234591494	0.9141000000000001	0.9958886765408506
ENSG00000149575	SCN2B	20.384618580060515	0.2579000000000001	0.0126516961299569	0.7421	0.9873483038700431
