ensembl_id	gene_symbol	prob_ratio	cell_type_prob	general_prob	minus_cell_type_prob	minus_general
ENSG00000049768	FOXP3	86.49050582284538	0.3445999999999999	0.0039842523375435	0.6554000000000001	0.9960157476624565
ENSG00000163599	CTLA4	39.85191891891904	0.4802999999999996	0.0120521172638436	0.5197000000000004	0.9879478827361564
ENSG00000138684	IL21	28.76831460674225	0.0581999999999999	0.0020230590771681	0.9418000000000001	0.9979769409228318
ENSG00000181847	TIGIT	22.45447946147009	0.5206000000000001	0.0231846835235394	0.47939999999999994	0.9768153164764606
ENSG00000183813	CCR4	21.89079078628352	0.1481	0.0067654020106389	0.8519	0.9932345979893611
ENSG00000134460	IL2RA	21.803824224929528	0.3132999999999999	0.0143690389707777	0.6867000000000001	0.9856309610292223
ENSG00000163600	ICOS	19.32933932131672	0.4452999999999999	0.0230375178684413	0.5547000000000001	0.9769624821315587
ENSG00000089012	SIRPG	16.85724025795834	0.2879	0.0170787148782602	0.7121	0.9829212851217398
ENSG00000172215	CXCR6	14.652053621685718	0.2317999999999999	0.0158203079230426	0.7682000000000001	0.9841796920769574
ENSG00000178562	CD28	14.076670896892509	0.3899000000000001	0.0276983104070488	0.6100999999999999	0.9723016895929512
ENSG00000186827	TNFRSF4	13.077384214611236	0.3988000000000001	0.0304953952147727	0.6012	0.9695046047852273
ENSG00000167618	LAIR2	12.411593755302956	0.1714	0.0138096688772759	0.8286	0.9861903311227241
ENSG00000110448	CD5	11.814752093489398	0.326	0.0275926229700278	0.6739999999999999	0.9724073770299722
ENSG00000186891	TNFRSF18	11.503861638372085	0.3873000000000001	0.0336669556862652	0.6126999999999999	0.9663330443137348
ENSG00000111536	IL26	11.25410449006884	0.0158	0.0014039322288097	0.9842	0.9985960677711903
ENSG00000124203	ZNF831	11.18857908091348	0.2232	0.0199489138331028	0.7767999999999999	0.9800510861668972
ENSG00000154451	GBP5	10.91522844745506	0.3761	0.0344564478710191	0.6239	0.9655435521289809
ENSG00000163564	PYHIN1	10.725362473347564	0.3276999999999999	0.0305537459283387	0.6723000000000001	0.9694462540716613
ENSG00000113263	ITK	10.44264236873154	0.3858	0.036944672275209	0.6142000000000001	0.963055327724791
ENSG00000139193	CD27	10.439977627102252	0.6069	0.0581323084854591	0.3931	0.9418676915145409
ENSG00000188389	PDCD1	10.059995441372834	0.1448	0.0143936446933657	0.8552	0.9856063553066343
ENSG00000116824	CD2	9.999857002105298	0.7825000000000002	0.0782511189745271	0.2174999999999998	0.9217488810254729
ENSG00000049249	TNFRSF9	9.960930410958936	0.1704	0.0171068357040751	0.8296	0.9828931642959249
