	ensembl_id	gene_symbol
0	ENSG00000160072	ATAD3B
1	ENSG00000142611	PRDM16
2	ENSG00000157911	PEX10
3	ENSG00000142655	PEX14
4	ENSG00000149527	PLCH2
5	ENSG00000171621	SPSB1
6	ENSG00000142583	SLC2A5
7	ENSG00000116786	PLEKHM2
8	ENSG00000173614	NMNAT1
9	ENSG00000162592	CCDC27
10	ENSG00000204624	DISP3
11	ENSG00000142606	MMEL1
12	ENSG00000171729	TMEM51
13	ENSG00000037637	FBXO42
14	ENSG00000159423	ALDH4A1
15	ENSG00000011021	CLCN6
16	ENSG00000142615	CELA2A
17	ENSG00000215704	CELA2B
18	ENSG00000157916	RER1
19	ENSG00000157881	PANK4
20	ENSG00000048707	VPS13D
21	ENSG00000162444	RBP7
22	ENSG00000180758	GPR157
23	ENSG00000184677	ZBTB40
24	ENSG00000131697	NPHP4
25	ENSG00000197921	HES5
26	ENSG00000055070	SZRD1
27	ENSG00000175087	PDIK1L
28	ENSG00000157191	NECAP2
29	ENSG00000162511	LAPTM5
30	ENSG00000158014	SLC30A2
31	ENSG00000204138	PHACTR4
32	ENSG00000142675	CNKSR1
33	ENSG00000197245	FAM110D
34	ENSG00000130772	MED18
35	ENSG00000090020	SLC9A1
36	ENSG00000157978	LDLRAP1
37	ENSG00000130770	ATP5IF1
38	ENSG00000162512	SDC3
39	ENSG00000158006	PAFAH2
40	ENSG00000126698	DNAJC8
41	ENSG00000130766	SESN2
42	ENSG00000168528	SERINC2
43	ENSG00000196581	AJAP1
44	ENSG00000169403	PTAFR
45	ENSG00000084628	NKAIN1
46	ENSG00000060688	SNRNP40
47	ENSG00000171612	SLC25A33
48	ENSG00000188910	GJB3
49	ENSG00000116138	DNAJC16
50	ENSG00000158161	EYA3
51	ENSG00000142684	ZNF593
52	ENSG00000121769	FABP3
53	ENSG00000142627	EPHA2
54	ENSG00000142632	ARHGEF19
55	ENSG00000189337	KAZN
56	ENSG00000028137	TNFRSF1B
57	ENSG00000130939	UBE4B
58	ENSG00000127472	PLA2G5
59	ENSG00000060656	PTPRU
60	ENSG00000163867	ZMYM6
61	ENSG00000189280	GJB5
62	ENSG00000134698	AGO4
63	ENSG00000134690	CDCA8
64	ENSG00000132881	CPLANE2
65	ENSG00000273274	ZBTB8B
66	ENSG00000009709	PAX7
67	ENSG00000158008	EXTL1
68	ENSG00000130940	CASZ1
69	ENSG00000116771	AGMAT
70	ENSG00000163879	DNALI1
71	ENSG00000116954	RRAGC
72	ENSG00000163873	GRIK3
73	ENSG00000117215	PLA2G2D
74	ENSG00000196449	YRDC
75	ENSG00000044012	GUCA2B
76	ENSG00000179051	RCC2
77	ENSG00000126067	PSMB2
78	ENSG00000132906	CASP9
79	ENSG00000197312	DDI2
80	ENSG00000173660	UQCRH
81	ENSG00000054118	THRAP3
82	ENSG00000276747	PADI6
83	ENSG00000159339	PADI4
84	ENSG00000197982	C1orf122
85	ENSG00000183317	EPHA10
86	ENSG00000183386	FHL3
87	ENSG00000158315	RHBDL2
88	ENSG00000204084	INPP5B
89	ENSG00000186973	FAM183A
90	ENSG00000146463	ZMYM4
91	ENSG00000183520	UTP11
92	ENSG00000142686	C1orf216
93	ENSG00000117148	ACTL8
94	ENSG00000117000	RLF
95	ENSG00000092853	CLSPN
96	ENSG00000134697	GNL2
97	ENSG00000187513	GJA4
98	ENSG00000116151	MORN1
99	ENSG00000006555	TTC22
100	ENSG00000066056	TIE1
101	ENSG00000214114	MYCBP
102	ENSG00000116544	DLGAP3
103	ENSG00000117016	RIMS3
104	ENSG00000121310	ECHDC2
105	ENSG00000169213	RAB3B
