	ensembl_id	gene_symbol
0	ENSG00000160072	ATAD3B
1	ENSG00000157911	PEX10
2	ENSG00000142655	PEX14
3	ENSG00000171621	SPSB1
4	ENSG00000116786	PLEKHM2
5	ENSG00000173614	NMNAT1
6	ENSG00000171729	TMEM51
7	ENSG00000037637	FBXO42
8	ENSG00000159423	ALDH4A1
9	ENSG00000011021	CLCN6
10	ENSG00000157916	RER1
11	ENSG00000157881	PANK4
12	ENSG00000048707	VPS13D
13	ENSG00000184677	ZBTB40
14	ENSG00000055070	SZRD1
15	ENSG00000175087	PDIK1L
16	ENSG00000157191	NECAP2
17	ENSG00000162511	LAPTM5
18	ENSG00000204138	PHACTR4
19	ENSG00000130772	MED18
20	ENSG00000090020	SLC9A1
21	ENSG00000157978	LDLRAP1
22	ENSG00000130770	ATP5IF1
23	ENSG00000162512	SDC3
24	ENSG00000158006	PAFAH2
25	ENSG00000126698	DNAJC8
26	ENSG00000130766	SESN2
27	ENSG00000168528	SERINC2
28	ENSG00000060688	SNRNP40
29	ENSG00000171612	SLC25A33
30	ENSG00000116138	DNAJC16
31	ENSG00000158161	EYA3
32	ENSG00000142684	ZNF593
33	ENSG00000121769	FABP3
34	ENSG00000142627	EPHA2
35	ENSG00000189337	KAZN
36	ENSG00000028137	TNFRSF1B
37	ENSG00000130939	UBE4B
38	ENSG00000163867	ZMYM6
39	ENSG00000134698	AGO4
40	ENSG00000134690	CDCA8
41	ENSG00000130940	CASZ1
42	ENSG00000163879	DNALI1
43	ENSG00000116954	RRAGC
44	ENSG00000196449	YRDC
45	ENSG00000179051	RCC2
46	ENSG00000126067	PSMB2
47	ENSG00000132906	CASP9
48	ENSG00000197312	DDI2
49	ENSG00000173660	UQCRH
50	ENSG00000054118	THRAP3
51	ENSG00000197982	C1orf122
52	ENSG00000183386	FHL3
53	ENSG00000204084	INPP5B
54	ENSG00000146463	ZMYM4
55	ENSG00000183520	UTP11
56	ENSG00000142686	C1orf216
57	ENSG00000117000	RLF
58	ENSG00000092853	CLSPN
59	ENSG00000134697	GNL2
60	ENSG00000214114	MYCBP
61	ENSG00000121310	ECHDC2
62	ENSG00000163866	SMIM12
63	ENSG00000117419	ERI3
64	ENSG00000117859	OSBPL9
65	ENSG00000162378	ZYG11B
66	ENSG00000117862	TXNDC12
67	ENSG00000183431	SF3A3
68	ENSG00000243725	TTC4
69	ENSG00000162407	PLPP3
70	ENSG00000163877	SNIP1
71	ENSG00000157184	CPT2
72	ENSG00000198815	FOXJ3
73	ENSG00000134744	TUT4
74	ENSG00000162385	MAGOH
75	ENSG00000123080	CDKN2C
76	ENSG00000162600	OMA1
77	ENSG00000116704	SLC35D1
78	ENSG00000116205	TCEANC2
79	ENSG00000198841	KTI12
80	ENSG00000116212	LRRC42
81	ENSG00000162607	USP1
82	ENSG00000162433	AK4
83	ENSG00000213625	LEPROT
84	ENSG00000158966	CACHD1
85	ENSG00000203965	EFCAB7
86	ENSG00000125703	ATG4C
87	ENSG00000188786	MTF1
88	ENSG00000137941	TTLL7
89	ENSG00000066135	KDM4A
90	ENSG00000117174	ZNHIT6
91	ENSG00000143013	LMO4
92	ENSG00000134748	PRPF38A
93	ENSG00000142892	PIGK
94	ENSG00000184005	ST6GALNAC3
95	ENSG00000116641	DOCK7
96	ENSG00000172260	NEGR1
97	ENSG00000117480	FAAH
98	ENSG00000137944	KYAT3
99	ENSG00000067334	DNTTIP2
100	ENSG00000142949	PTPRF
101	ENSG00000116133	DHCR24
102	ENSG00000116157	GPX7
103	ENSG00000065243	PKN2
104	ENSG00000117528	ABCD3
105	ENSG00000172339	ALG14
106	ENSG00000058799	YIPF1
107	ENSG00000127124	HIVEP3
108	ENSG00000162604	TM2D1
109	ENSG00000116171	SCP2
110	ENSG00000137936	BCAR3
111	ENSG00000178028	DMAP1
112	ENSG00000168710	AHCYL1
113	ENSG00000117519	CNN3
114	ENSG00000134215	VAV3
115	ENSG00000188641	DPYD
116	ENSG00000171492	LRRC8D
117	ENSG00000137962	ARHGAP29
118	ENSG00000079739	PGM1
119	ENSG00000162377	COA7
120	ENSG00000116774	OLFML3
121	ENSG00000023909	GCLM
122	ENSG00000069702	TGFBR3
123	ENSG00000198198	SZT2
124	ENSG00000116793	PHTF1
125	ENSG00000117525	F3
126	ENSG00000162692	VCAM1
127	ENSG00000198162	MAN1A2
128	ENSG00000143079	CTTNBP2NL
129	ENSG00000143093	STRIP1
130	ENSG00000085491	SLC25A24
131	ENSG00000134198	TSPAN2
132	ENSG00000198799	LRIG2
133	ENSG00000117620	SLC35A3
134	ENSG00000162688	AGL
135	ENSG00000185946	RNPC3
136	ENSG00000162627	SNX7
137	ENSG00000162695	SLC30A7
138	ENSG00000265808	SEC22B
139	ENSG00000134247	PTGFRN
140	ENSG00000116752	BCAS2
141	ENSG00000162664	ZNF326
142	ENSG00000173218	VANGL1
143	ENSG00000183508	TENT5C
144	ENSG00000143398	PIP5K1A
145	ENSG00000196505	GDAP2
146	ENSG00000065183	WDR3
147	ENSG00000163156	SCNM1
148	ENSG00000197323	TRIM33
149	ENSG00000079335	CDC14A
150	ENSG00000143119	CD53
151	ENSG00000171943	SRGAP2C
152	ENSG00000116830	TTF2
153	ENSG00000081026	MAGI3
154	ENSG00000143458	GABPB2
155	ENSG00000117262	GPR89A
156	ENSG00000137947	GTF2B
157	ENSG00000184371	CSF1
158	ENSG00000162729	IGSF8
159	ENSG00000143158	MPC2
160	ENSG00000000460	C1orf112
161	ENSG00000135862	LAMC1
162	ENSG00000143198	MGST3
163	ENSG00000143621	ILF2
164	ENSG00000143155	TIPRL
165	ENSG00000143156	NME7
166	ENSG00000198771	RCSD1
167	ENSG00000213064	SFT2D2
168	ENSG00000143179	UCK2
169	ENSG00000143315	PIGM
170	ENSG00000143190	POU2F1
171	ENSG00000075945	KIFAP3
172	ENSG00000117091	CD48
173	ENSG00000047410	TPR
174	ENSG00000171806	METTL18
175	ENSG00000162694	EXTL2
176	ENSG00000118197	DDX59
177	ENSG00000116815	CD58
178	ENSG00000143228	NUF2
179	ENSG00000000457	SCYL3
180	ENSG00000143507	DUSP10
181	ENSG00000059588	TARBP1
182	ENSG00000143653	SCCPDH
183	ENSG00000158711	ELK4
184	ENSG00000162851	TFB2M
185	ENSG00000143353	LYPLAL1
186	ENSG00000197965	MPZL1
187	ENSG00000143493	INTS7
188	ENSG00000117592	PRDX6
189	ENSG00000092978	GPATCH2
190	ENSG00000143499	SMYD2
191	ENSG00000188404	SELL
192	ENSG00000116574	RHOU
193	ENSG00000121481	RNF2
194	ENSG00000143248	RGS5
195	ENSG00000116132	PRRX1
196	ENSG00000116679	IVNS1ABP
197	ENSG00000121486	TRMT1L
198	ENSG00000057252	SOAT1
199	ENSG00000162852	CNST
200	ENSG00000116962	NID1
201	ENSG00000181450	ZNF678
202	ENSG00000120333	MRPS14
203	ENSG00000121644	DESI2
204	ENSG00000067533	RRP15
205	ENSG00000116209	TMEM59
206	ENSG00000116161	CACYBP
207	ENSG00000152104	PTPN14
208	ENSG00000203724	C1orf53
209	ENSG00000168118	RAB4A
210	ENSG00000173726	TOMM20
211	ENSG00000152382	TADA1
212	ENSG00000135829	DHX9
213	ENSG00000134717	BTF3L4
214	ENSG00000116668	SWT1
215	ENSG00000143756	FBXO28
216	ENSG00000143207	COP1
217	ENSG00000116906	GNPAT
218	ENSG00000092969	TGFB2
219	ENSG00000157181	ODR4
220	ENSG00000117697	NSL1
221	ENSG00000143641	GALNT2
222	ENSG00000010072	SPRTN
223	ENSG00000135766	EGLN1
224	ENSG00000066027	PPP2R5A
225	ENSG00000094975	SUCO
226	ENSG00000162772	ATF3
227	ENSG00000135828	RNASEL
228	ENSG00000076356	PLXNA2
229	ENSG00000123684	LPGAT1
230	ENSG00000123836	PFKFB2
231	ENSG00000117691	NENF
232	ENSG00000203705	TATDN3
233	ENSG00000171161	ZNF672
234	ENSG00000133059	DSTYK
235	ENSG00000074964	ARHGEF10L
236	ENSG00000116918	TSNAX
237	ENSG00000176393	RNPEP
238	ENSG00000174606	ANGEL2
239	ENSG00000235750	KIAA0040
240	ENSG00000116903	EXOC8
241	ENSG00000151414	NEK7
242	ENSG00000136643	RPS6KC1
243	ENSG00000069248	NUP133
244	ENSG00000090104	RGS1
245	ENSG00000185220	PGBD2
246	ENSG00000162769	FLVCR1
247	ENSG00000133065	SLC41A1
248	ENSG00000230124	ACBD6
249	ENSG00000007341	ST7L
250	ENSG00000117222	RBBP5
251	ENSG00000143324	XPR1
252	ENSG00000135749	PCNX2
253	ENSG00000143786	CNIH3
254	ENSG00000054282	SDCCAG8
255	ENSG00000162702	ZNF281
256	ENSG00000054267	ARID4B
257	ENSG00000175137	SH3BP5L
258	ENSG00000134245	WNT2B
259	ENSG00000069275	NUCKS1
260	ENSG00000134375	TIMM17A
261	ENSG00000097046	CDC7
262	ENSG00000185420	SMYD3
263	ENSG00000076321	KLHL20
264	ENSG00000135778	NTPCR
265	ENSG00000117280	RAB29
266	ENSG00000136636	KCTD3
267	ENSG00000163874	ZC3H12A
268	ENSG00000188739	RBM34
269	ENSG00000135750	KCNK1
270	ENSG00000162545	CAMK2N1
271	ENSG00000090432	MUL1
272	ENSG00000158828	PINK1
273	ENSG00000134371	CDC73
274	ENSG00000066557	LRRC40
275	ENSG00000118454	ANKRD13C
276	ENSG00000117318	ID3
277	ENSG00000057757	PITHD1
278	ENSG00000011009	LYPLA2
279	ENSG00000117308	GALE
280	ENSG00000158716	DUSP23
281	ENSG00000163399	ATP1A1
282	ENSG00000177888	ZBTB41
283	ENSG00000243364	EFNA4
284	ENSG00000169242	EFNA1
285	ENSG00000169241	SLC50A1
286	ENSG00000163463	KRTCAP2
287	ENSG00000169231	THBS3
288	ENSG00000116521	SCAMP3
289	ENSG00000176444	CLK2
290	ENSG00000142657	PGD
291	ENSG00000175279	CENPS
292	ENSG00000160049	DFFA
293	ENSG00000182004	SNRPE
294	ENSG00000158156	XKR8
295	ENSG00000182118	FAM89A
296	ENSG00000143633	C1orf131
297	ENSG00000132773	TOE1
298	ENSG00000070759	TESK2
299	ENSG00000162636	FAM102B
300	ENSG00000162639	HENMT1
301	ENSG00000134186	PRPF38B
302	ENSG00000116266	STXBP3
303	ENSG00000215717	TMEM167B
304	ENSG00000132676	DAP3
305	ENSG00000132718	SYT11
306	ENSG00000132680	KHDC4
307	ENSG00000163479	SSR2
308	ENSG00000160803	UBQLN4
309	ENSG00000198952	SMG5
310	ENSG00000163468	CCT3
311	ENSG00000254726	MEX3A
312	ENSG00000143061	IGSF3
313	ENSG00000135821	GLUL
314	ENSG00000168275	COA6
315	ENSG00000153207	AHCTF1
316	ENSG00000116678	LEPR
317	ENSG00000159352	PSMD4
318	ENSG00000158710	TAGLN2
319	ENSG00000162734	PEA15
320	ENSG00000049239	H6PD
321	ENSG00000244038	DDOST
322	ENSG00000126091	ST3GAL3
323	ENSG00000171163	ZNF692
324	ENSG00000172456	FGGY
325	ENSG00000162946	DISC1
326	ENSG00000179085	DPM3
327	ENSG00000116685	KIAA2013
328	ENSG00000083444	PLOD1
329	ENSG00000116691	MIIP
330	ENSG00000162521	RBBP4
331	ENSG00000162520	SYNC
332	ENSG00000162522	KIAA1522
333	ENSG00000116497	S100PBP
334	ENSG00000121900	TMEM54
335	ENSG00000143222	UFC1
336	ENSG00000143224	PPOX
337	ENSG00000158850	B4GALT3
338	ENSG00000158869	FCER1G
339	ENSG00000188092	GPR89B
340	ENSG00000116688	MFN2
341	ENSG00000084073	ZMPSTE24
342	ENSG00000049089	COL9A2
343	ENSG00000117640	MTFR1L
344	ENSG00000182749	PAQR7
345	ENSG00000117632	STMN1
346	ENSG00000187147	RNF220
347	ENSG00000126106	TMEM53
348	ENSG00000198520	ARMH1
349	ENSG00000173846	PLK3
350	ENSG00000117425	PTCH2
351	ENSG00000070785	EIF2B3
352	ENSG00000126107	HECTD3
353	ENSG00000126088	UROD
354	ENSG00000162408	NOL9
355	ENSG00000204859	ZBTB48
356	ENSG00000171488	LRRC8C
357	ENSG00000119285	HEATR1
358	ENSG00000117758	STX12
359	ENSG00000117751	PPP1R8
360	ENSG00000130775	THEMIS2
361	ENSG00000117748	RPA2
362	ENSG00000117122	MFAP2
363	ENSG00000159363	ATP13A2
364	ENSG00000117118	SDHB
365	ENSG00000143498	TAF1A
366	ENSG00000154305	MIA3
367	ENSG00000186063	AIDA
368	ENSG00000162819	BROX
369	ENSG00000164010	ERMAP
370	ENSG00000164011	ZNF691
371	ENSG00000092621	PHGDH
372	ENSG00000130764	LRRC47
373	ENSG00000284770	TBCE
374	ENSG00000198837	DENND4B
375	ENSG00000160741	CRTC2
376	ENSG00000143578	CREB3L4
377	ENSG00000143543	JTB
378	ENSG00000143545	RAB13
379	ENSG00000162642	C1orf52
380	ENSG00000116198	CEP104
381	ENSG00000162836	ACP6
382	ENSG00000116667	C1orf21
383	ENSG00000204219	TCEA3
384	ENSG00000162885	B3GALNT2
385	ENSG00000173110	HSPA6
386	ENSG00000160752	FDPS
387	ENSG00000121957	GPSM2
388	ENSG00000117395	EBNA1BP2
389	ENSG00000116874	WARS2
390	ENSG00000009780	FAM76A
391	ENSG00000023572	GLRX2
