cell_type_name,CO_id,Ass.Ontology
PCP4L1+.Bipolar.cell,CL0000748,retinal bipolar neuron
Thymic.myoid.cell,CL0009075,myo-medullary thymic epithelial cell
Basal.prostatic.cell.HPA,CL0002341,basal cell of prostate epithelium
Paneth.cell.HPA,CL0000510,paneth cell
cDC1.cell,CL0001056,dendritic cell
Sympathoadrenal.cell,CL3000002,sympathetic noradrenergic neuron
Late.spermatocyte,CL0000657,secondary spermatocyte
CDC20B+.Multiciliated.cell,CL4030034,respiratory ciliated cell
Oocyte.HPA,CL0000023,oocyte
Atrial.ventricular.cardiomyocyte,CL0010021,cardiac myoblast
Heart.fibroblast,CL0002548,fibroblast of cardiac tissue
SLC13A4+.Syncytiotrophoblast,CL0000525,syncytiotrophoblast cell
Rod.photoreceptor,CL0000287,eye photoreceptor cell
Squamous.epithelial.cell,CL0000076,squamous epithelial cell
COL11A1.Fibroblast,CL0000057,fibroblast
Skeletal.muscle.myoblast,CL0000515,skeletal muscle myoblast
Mesodermal.cell,CL0000222,mesodermal cell
pre-B.cell,CL0000956,pre-B-I cell
Endocardial.cell,CL0002350,endocardial cell
Meiotic.oocyte,CL0000023,oocyte
PLA2G2A+IGFBP4+APOC1+.Fibroblast,CL0000057,fibroblast
ANGPTL7+NRP2+.Fibroblast,CL0000057,fibroblast
IFN.Responsed.trophoblast,CL0000351,trophoblast cell
Type.beta.intercalated.cell,CL0002201,renal beta-intercalated cell
Muller.glia.cell,CL0000125,glial cell
Cone.photoreceptor.cell.HPA,CL0000718,compound eye cone cell
Inhibitory.neuron,CL0000498,inhibitory interneuron
Regulatory.dendritic.cell,CL0000451,dendritic cell
Proliferation.perivascular.cell,CL4033054,perivascular cell
SLAMF1+XCL-.Innate.lymphoid.cell,CL0001065,innate lymphoid cell
Pancreatic.endocrine.cell.HPA,CL0008024,pancreatic endocrine cell
Skeletal.myocyte.HPA,CL0000515,skeletal muscle myoblast
Dark.zone.follicular.dendritic.cell,CL0000442,follicular dendritic cell
Epithelial.cell,CL0000066,epithelial cell
Surface.mucous.cell,CL0002182,surface mucosal cell of stomach
Astrocyte.cell,CL0000127,astrocyte
Common.myeloid.progenitor,CL0000049,common myeloid progenitor
Double.negative.T.cell,CL0002489,double negative thymocyte
Metamyelocyte.Band.Neutrophil.cell,CL0000582,neutrophilic metamyelocyte
Type.alpha.intercalated.cell,CL0005011,renal alpha-intercalated cell
Tuft.cell,CL0019032,intestinal tuft cell
PSG5+.Syncytiotrophoblast,CL0000525,syncytiotrophoblast cell
AFP+.Fetal.hepatocyte,CL0000182,hepatocyte
Horizontal.cell.HPA,CL0000745,retina horizontal cell
Villous.cytotrophoblast,CL2000060,placental villous trophoblast
Perivascular.cell,CL4033054,perivascular cell
Corneal.epithelial.cell,CL0000575,corneal epithelial cell
Corneocyte-like.mTEC.cell,CL0002153,corneocyte
Oocyte,CL0000023,oocyte
Enterochromaffin.cell,CL0000504,enterochromaffin-like cell
Fibroblast,CL0000057,fibroblast
