ensembl_id	gene_symbol	prob_ratio	cell_type_prob	general_prob	minus_cell_type_prob	minus_general
ENSG00000179639	FCER1A	38.99971942854206	0.7088000000000001	0.0181744897241815	0.2911999999999999	0.9818255102758185
ENSG00000100373	UPK3A	32.87367456045939	0.4294	0.0130621235910294	0.5706	0.9869378764089706
ENSG00000132514	CLEC10A	28.962331933019023	0.5800000000000002	0.0200260117638787	0.4199999999999998	0.9799739882361213
ENSG00000255833	TIFAB	28.588120915032828	0.2378	0.0083181402760527	0.7622	0.9916818597239473
ENSG00000121807	CCR2	26.2535471896929	0.2568999999999999	0.009785344362946	0.7431000000000001	0.990214655637054
ENSG00000169385	RNASE2	24.34933097450978	0.6869999999999997	0.0282143275607526	0.3130000000000003	0.9717856724392474
ENSG00000178789	CD300LB	23.717280441239048	0.1703	0.0071804185316241	0.8297	0.9928195814683759
ENSG00000169397	RNASE3	21.938784892838605	0.1967	0.0089658566306563	0.8033	0.9910341433693437
ENSG00000122025	FLT3	21.016844131362276	0.4963999999999998	0.0236191502823799	0.5036000000000003	0.9763808497176201
ENSG00000104974	LILRA1	19.632699302248408	0.2077	0.0105792890117872	0.7923	0.9894207109882128
ENSG00000166428	PLD4	18.483463531675397	0.7564000000000003	0.0409230661073746	0.2435999999999997	0.9590769338926254
ENSG00000176076	KCNE5	17.585609915540147	0.3151999999999998	0.0179237456939984	0.6848000000000002	0.9820762543060017
ENSG00000167850	CD300C	17.04376545770163	0.26	0.0152548449839476	0.74	0.9847451550160524
ENSG00000180549	FUT7	16.747248583269972	0.1856	0.0110824174536591	0.8144	0.9889175825463409
ENSG00000239998	LILRA2	16.599528736351715	0.435	0.026205563236707	0.565	0.973794436763293
ENSG00000168913	ENHO	15.859762935854448	0.5484000000000002	0.0345780704426686	0.4515999999999998	0.9654219295573314
ENSG00000111729	CLEC4A	15.3553380289992	0.4883999999999999	0.0318065287183933	0.5116	0.9681934712816067
ENSG00000158473	CD1D	15.218923178983708	0.4032	0.0264933330208796	0.5968	0.9735066669791204
ENSG00000186818	LILRB4	15.12630957069714	0.5039999999999999	0.0333194291472359	0.4960000000000001	0.9666805708527642
ENSG00000126759	CFP	15.056903113626806	0.7629999999999997	0.0506744311391277	0.23700000000000032	0.9493255688608723
ENSG00000158481	CD1C	14.861553956571788	0.3814	0.0256635343191244	0.6186	0.9743364656808756
ENSG00000172322	CLEC12A	14.68625770297212	0.53	0.0360881587889297	0.47	0.9639118412110703
ENSG00000105383	CD33	14.500838829652038	0.508	0.0350324561197946	0.492	0.9649675438802054
ENSG00000161944	ASGR2	14.429934465494638	0.2032999999999999	0.014088768073489	0.7967000000000001	0.985911231926511
ENSG00000133246	PRAM1	13.681777049507186	0.5145999999999998	0.0376120732078831	0.48540000000000016	0.9623879267921169
