ensembl_id	gene_symbol	prob_ratio	cell_type_prob	general_prob	minus_cell_type_prob	minus_general
ENSG00000112214	FHL5	36.72990306028968	0.4697	0.0127879455393339	0.5303	0.9872120544606661
ENSG00000064218	DMRT3	36.70653552251212	0.0833	0.0022693506432638	0.9167	0.9977306493567362
ENSG00000108700	CCL8	33.93691193148961	0.3436	0.010124668994446	0.6564	0.989875331005554
ENSG00000166148	AVPR1A	32.534057581499795	0.3943	0.0121196072457994	0.6057	0.9878803927542006
ENSG00000181374	CCL13	27.54052047189481	0.1301999999999999	0.0047275794999179	0.8698000000000001	0.9952724205000821
ENSG00000228789	HCG22	24.65103012404072	0.0488999999999999	0.0019836899210273	0.9511000000000001	0.9980163100789727
ENSG00000180383	DEFB124	23.56497888888949	0.0496999999999999	0.0021090619361188	0.9503000000000001	0.9978909380638812
ENSG00000092607	TBX15	22.862934637179368	0.2722999999999999	0.0119101070934782	0.7277000000000001	0.9880898929065218
ENSG00000136244	IL6	22.665532260136462	0.7856000000000003	0.0346605581983924	0.2143999999999997	0.9653394418016076
ENSG00000158859	ADAMTS4	21.06423187064813	0.8428999999999998	0.0400157007944132	0.15710000000000024	0.9599842992055868
ENSG00000137077	CCL21	20.885931554956095	0.4208999999999999	0.0201523211398307	0.5791000000000002	0.9798476788601693
ENSG00000205362	MT1A	20.811767604845063	0.9144000000000002	0.0439366812738733	0.08559999999999979	0.9560633187261267
ENSG00000198108	CHSY3	19.91486766687452	0.4640999999999999	0.0233041970332528	0.5359	0.9766958029667472
ENSG00000127954	STEAP4	19.909773108675846	0.8285000000000001	0.0416127293604855	0.17149999999999987	0.9583872706395145
ENSG00000158258	CLSTN2	19.02170731021492	0.6340999999999999	0.0333355986220794	0.3659000000000001	0.9666644013779206
ENSG00000182771	GRID1	17.987000471301897	0.2057	0.0114360368382817	0.7943	0.9885639631617184
ENSG00000221818	EBF2	17.17870119379717	0.4285999999999998	0.0249494996836406	0.5714000000000001	0.9750505003163594
ENSG00000069431	ABCC9	16.678813790749295	0.5267	0.0315789843695076	0.47330000000000005	0.9684210156304924
ENSG00000180616	SSTR2	16.561500717948743	0.5676	0.0342722564619313	0.4324	0.9657277435380687
ENSG00000112837	TBX18	16.357477848851037	0.2427	0.0148372507205961	0.7573	0.985162749279404
ENSG00000174226	SNX31	16.053057979445544	0.097	0.0060424624469804	0.903	0.9939575375530196
