ensembl_id	gene_symbol	prob_ratio	cell_type_prob	general_prob	minus_cell_type_prob	minus_general
ENSG00000257520	SFTA3	77.56421558827545	0.6727999999999998	0.0086741030628265	0.32720000000000016	0.9913258969371735
ENSG00000136352	NKX2-1	70.09515937845525	0.5349000000000003	0.0076310547653082	0.46509999999999974	0.9923689452346918
ENSG00000122852	SFTPA1	67.00236703012432	0.4247999999999999	0.0063400745201883	0.5752000000000002	0.9936599254798117
ENSG00000168878	SFTPB	58.50529405907098	0.6883999999999999	0.011766456541607	0.3116000000000001	0.988233543458393
ENSG00000185303	SFTPA2	55.24608402432319	0.3512999999999997	0.0063588217373983	0.6487000000000003	0.9936411782626017
ENSG00000047936	ROS1	43.17647121916454	0.0849	0.001966348745108	0.9151	0.998033651254892
ENSG00000133661	SFTPD	40.03011155600728	0.4709000000000002	0.0117636444590255	0.5290999999999998	0.9882363555409746
ENSG00000164265	SCGB3A2	37.85978512663743	0.7138999999999998	0.0188564197501932	0.28610000000000024	0.9811435802498067
ENSG00000196260	SFTA2	37.77744532574658	0.6160999999999999	0.0163086729313617	0.38390000000000013	0.9836913270686383
ENSG00000259803	SLC22A31	34.78846176733154	0.1644000000000001	0.0047257047781969	0.8355999999999999	0.9952742952218031
ENSG00000168484	SFTPC	31.777879534651085	0.5953000000000002	0.0187331567970378	0.40469999999999984	0.9812668432029622
ENSG00000131400	NAPSA	31.471907164636583	0.4764999999999998	0.0151404869589669	0.5235000000000002	0.9848595130410331
ENSG00000198183	BPIFA1	25.23610650254341	0.0221	0.0008757293839195	0.9779	0.9991242706160804
ENSG00000171885	AQP4	23.707222222222303	0.3286999999999998	0.0138649731680453	0.6713000000000002	0.9861350268319548
ENSG00000149435	GGTLC1	23.37898045710533	0.0827	0.0035373655473015	0.9173	0.9964626344526984
ENSG00000153446	C16orf89	21.581800577562287	0.4640999999999997	0.0215042298408829	0.5359000000000003	0.9784957701591172
ENSG00000149021	SCGB1A1	21.384942002064083	0.2428	0.0113537834227731	0.7572	0.988646216577227
ENSG00000197446	CYP2F1	20.34200211864444	0.0539999999999999	0.0026546059569282	0.9460000000000001	0.9973453940430718
ENSG00000152785	BMP3	20.057275070772302	0.2971999999999999	0.0148175661425256	0.7028000000000001	0.9851824338574744
ENSG00000096088	PGC	19.88199839299444	0.4000999999999999	0.0201237316335855	0.5999000000000001	0.9798762683664145
ENSG00000123838	C4BPA	19.809930069930168	0.2037999999999999	0.0102877697841726	0.7962000000000001	0.9897122302158274
ENSG00000174502	SLC26A9	19.703931087396533	0.0662	0.0033597356642372	0.9338	0.9966402643357628
ENSG00000078081	LAMP3	19.3337634659398	0.3107999999999999	0.016075504417313	0.6892	0.983924495582687
ENSG00000189377	CXCL17	19.04180652770662	0.6356	0.0333791859020926	0.36439999999999995	0.9666208140979073
ENSG00000156076	WIF1	18.62495551508104	0.4576999999999999	0.0245745553394417	0.5423000000000001	0.9754254446605582
ENSG00000170477	KRT4	18.12921226721747	0.1111	0.0061282309657159	0.8889	0.9938717690342841
ENSG00000196344	ADH7	17.43507006104355	0.0588999999999999	0.0033782485412321	0.9411	0.9966217514587679
ENSG00000157765	SLC34A2	17.432070021098674	0.4336999999999999	0.0248794319593184	0.5663	0.9751205680406816
ENSG00000183607	GKN2	16.66380270414525	0.1756	0.0105378107937102	0.8244	0.9894621892062898
ENSG00000183145	RIPPLY3	16.24885252650027	0.0369999999999999	0.0022770838703629	0.9630000000000001	0.9977229161296371
ENSG00000197415	VEPH1	15.981296551311276	0.2502000000000001	0.0156558010920253	0.7497999999999999	0.9843441989079746
ENSG00000171446	KRT27	15.70132210788953	0.0236	0.0015030581398073	0.9764	0.9984969418601927
ENSG00000099994	SUSD2	15.126946286023587	0.2357999999999999	0.0155880767698544	0.7642000000000001	0.9844119232301456
ENSG00000221887	HMSD	14.529840030144296	0.0993999999999999	0.0068410939001241	0.9006000000000001	0.9931589060998759
ENSG00000204305	AGER	14.46731601495648	0.3109999999999999	0.0214967309539989	0.6890000000000001	0.9785032690460012
ENSG00000140254	DUOXA1	14.352398070739614	0.1569	0.0109319710355493	0.8431	0.9890680289644507
ENSG00000179593	ALOX15B	14.152395448356422	0.1363999999999999	0.0096379443676328	0.8636000000000001	0.9903620556323672
ENSG00000153093	ACOXL	13.870857121309362	0.0862	0.0062144681648817	0.9138	0.9937855318351183
ENSG00000268104	SLC6A14	13.8408107598122	0.1547	0.0111770909005694	0.8452999999999999	0.9888229090994306
ENSG00000080618	CPB2	13.830211013096122	0.0834	0.006030276755794	0.9166	0.993969723244206
ENSG00000170786	SDR16C5	13.81329537131115	0.2740000000000001	0.0198359618494129	0.726	0.9801640381505871
ENSG00000125798	FOXA2	13.41015267391401	0.2223000000000001	0.016576992477679	0.7776999999999998	0.983423007522321
ENSG00000125285	SOX21	13.370418107675755	0.0606999999999999	0.0045398729876033	0.9393000000000001	0.9954601270123967
ENSG00000066405	CLDN18	12.431272471301735	0.269	0.0216389754645794	0.731	0.9783610245354206
ENSG00000169174	PCSK9	12.250622009569485	0.0647999999999999	0.005289527335786	0.9352000000000001	0.994710472664214
ENSG00000134216	CHIA	12.23031975043925	0.0147	0.0012019309633725	0.9853	0.9987980690366275
ENSG00000129514	FOXA1	12.148865262218006	0.2742	0.0225700091392683	0.7258	0.9774299908607317
ENSG00000244414	CFHR1	11.92088797649246	0.0693999999999999	0.0058217139643333	0.9306000000000001	0.9941782860356667
ENSG00000168907	PLA2G4F	11.83948116581244	0.0930999999999999	0.0078635202587115	0.9069	0.9921364797412885
ENSG00000159387	IRX6	11.778551712940532	0.0509999999999999	0.0043299041548519	0.9490000000000001	0.9956700958451481
ENSG00000161055	SCGB3A1	11.676065573770504	0.4407999999999999	0.0377524429967426	0.5592000000000001	0.9622475570032574
ENSG00000157551	KCNJ15	11.661795173860172	0.2111	0.0181018442574929	0.7888999999999999	0.981898155742507
ENSG00000102854	MSLN	11.60031656501099	0.3258	0.0280854404424342	0.6742	0.9719145595575658
ENSG00000170890	PLA2G1B	11.515463404285452	0.1908	0.0165690249103648	0.8092	0.9834309750896352
ENSG00000134020	PEBP4	11.47768520945368	0.2975999999999999	0.02592857310243	0.7024000000000001	0.97407142689757
ENSG00000109205	ODAM	11.234539751936556	0.1107999999999999	0.0098624422937219	0.8892000000000001	0.9901375577062781
ENSG00000188959	C9orf152	10.867583198469942	0.1730999999999999	0.0159281044219998	0.8269000000000001	0.9840718955780002
ENSG00000025423	HSD17B6	10.800420715413615	0.1667	0.0154345839289479	0.8333	0.9845654160710521
ENSG00000109255	NMU	10.79358534899795	0.2745000000000001	0.0254317718463665	0.7254999999999999	0.9745682281536335
ENSG00000183347	GBP6	10.492263689393608	0.0391999999999999	0.0037360860497269	0.9608000000000001	0.9962639139502731
ENSG00000110195	FOLR1	10.30889864219534	0.4907000000000001	0.0475996531764815	0.5092999999999999	0.9524003468235185
ENSG00000142973	CYP4B1	10.237618432022806	0.2561	0.0250155836243057	0.7439	0.9749844163756943
ENSG00000162551	ALPL	10.118253640299107	0.2651	0.0262001734117591	0.7349	0.9737998265882409
ENSG00000086548	CEACAM6	9.864340573880424	0.2155000000000001	0.0218463665549644	0.7844999999999999	0.9781536334450356
ENSG00000115361	ACADL	9.783677448177306	0.1282999999999999	0.0131136784383567	0.8717000000000001	0.9868863215616434
ENSG00000173467	AGR3	9.651168459055231	0.4736	0.0490717784078925	0.5264	0.9509282215921075
ENSG00000064218	DMRT3	9.56220673275526	0.0217	0.0022693506432638	0.9783	0.9977306493567362
ENSG00000251503	CENPS-CORT	9.532113924400203	0.0809	0.0084870995711573	0.9191	0.9915129004288427
